1    :  A-LiuCheNGJiN       , 积分： 897.52  (单日浮动：-16.73), 赛季kpm: 3.0, 游玩时长(小时): 48.6
51   :  Zomb1eFPS           , 积分： 572.74  (单日浮动：  0.00), 赛季kpm: 2.7, 游玩时长(小时): 16.0
52   :  By-Lumine           , 积分： 572.30  (单日浮动： 33.66), 赛季kpm: 2.2, 游玩时长(小时): 11.4
53   :  BoRder_aRt-UnclE    , 积分： 572.25  (单日浮动： 15.27), 赛季kpm: 2.1, 游玩时长(小时): 21.4
54   :  Marvelouszika       , 积分： 569.33  (单日浮动：  1.08), 赛季kpm: 1.9, 游玩时长(小时): 29.4
55   :  GetAway_ovo         , 积分： 561.37  (单日浮动：  2.22), 赛季kpm: 2.1, 游玩时长(小时): 14.1
56   :  S547ean             , 积分： 560.56  (单日浮动：  0.00), 赛季kpm: 2.4, 游玩时长(小时): 10.3
57   :  1tsGreektome        , 积分： 560.24  (单日浮动：  0.00), 赛季kpm: 2.2, 游玩时长(小时): 11.3
58   :  zk-m1928a1          , 积分： 557.70  (单日浮动： 14.36), 赛季kpm: 1.9, 游玩时长(小时): 20.6
59   :  ANHZCG              , 积分： 556.08  (单日浮动：  8.65), 赛季kpm: 2.7, 游玩时长(小时): 8.6
60   :  LrensFps            , 积分： 555.45  (单日浮动： -0.25), 赛季kpm: 3.3, 游玩时长(小时): 8.7
61   :  Aginsster           , 积分： 552.86  (单日浮动：  0.00), 赛季kpm: 2.5, 游玩时长(小时): 7.9
62   :  MyAimYabe           , 积分： 551.50  (单日浮动：  0.00), 赛季kpm: 2.2, 游玩时长(小时): 11.4
63   :  AGHOXB              , 积分： 548.18  (单日浮动：  0.00), 赛季kpm: 2.9, 游玩时长(小时): 9.3
64   :  -EnnnNNNtuitui      , 积分： 547.27  (单日浮动：  0.00), 赛季kpm: 1.9, 游玩时长(小时): 20.4
65   :  OP_Killer_Cold      , 积分： 543.71  (单日浮动：  0.00), 赛季kpm: 1.9, 游玩时长(小时): 35.9
66   :  -Acquistion-        , 积分： 542.05  (单日浮动：  0.00), 赛季kpm: 3.3, 游玩时长(小时): 7.9
67   :  Kleshas-SR          , 积分： 534.90  (单日浮动：  0.00), 赛季kpm: 4.0, 游玩时长(小时): 6.5
68   :  Drown1nLoss         , 积分： 531.60  (单日浮动： 21.54), 赛季kpm: 2.0, 游玩时长(小时): 13.7
69   :  ClayMorePlayer      , 积分： 531.44  (单日浮动：  0.00), 赛季kpm: 2.3, 游玩时长(小时): 13.5
