1    :  A-LiuCheNGJiN       , 积分： 897.52  (单日浮动：-16.73), 赛季kpm: 3.0, 游玩时长(小时): 48.6
1373 :  LoveMegan1314       , 积分： 163.64  (单日浮动：  0.00), 赛季kpm: 1.5, 游玩时长(小时): 1.4
1374 :  DYin_Xin            , 积分： 163.62  (单日浮动：  0.00), 赛季kpm: 1.4, 游玩时长(小时): 2.6
1375 :  xz-Begonia          , 积分： 163.57  (单日浮动：  0.00), 赛季kpm: 0.9, 游玩时长(小时): 1.8
1376 :  iTzM3LTd0wN         , 积分： 163.57  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 1.7
1377 :  MariNeeeeeeN        , 积分： 163.47  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 2.2
1378 :  kurobun343          , 积分： 163.46  (单日浮动：  0.00), 赛季kpm: 1.1, 游玩时长(小时): 4.2
1379 :  1232323232320       , 积分： 163.45  (单日浮动：  0.00), 赛季kpm: 2.4, 游玩时长(小时): 1.1
1380 :  s123456679          , 积分： 163.39  (单日浮动： 33.46), 赛季kpm: 0.7, 游玩时长(小时): 1.7
1381 :  flyfanasdf          , 积分： 163.39  (单日浮动：  0.00), 赛季kpm: 0.1, 游玩时长(小时): 1.5
1382 :  ABCmkf              , 积分： 163.27  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 1.8
1383 :  LIUZONGLAI          , 积分： 163.24  (单日浮动：  8.16), 赛季kpm: 0.6, 游玩时长(小时): 6.1
1384 :  _Ek345_-ThreSeOn    , 积分： 163.23  (单日浮动：  0.00), 赛季kpm: 2.0, 游玩时长(小时): 1.5
1385 :  RyanSunXD           , 积分： 163.21  (单日浮动：  0.00), 赛季kpm: 1.2, 游玩时长(小时): 1.6
1386 :  jiachao0312         , 积分： 163.20  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 2.3
1387 :  SorimachiPoison     , 积分： 163.15  (单日浮动：  7.41), 赛季kpm: 0.5, 游玩时长(小时): 4.4
1388 :  linlin425           , 积分： 163.14  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 3.2
1389 :  burrito_Matsu79     , 积分： 163.13  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 6.0
1390 :  liushen321          , 积分： 163.09  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 8.4
1391 :  mxqf                , 积分： 162.99  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 5.6
1392 :  lelicy              , 积分： 162.90  (单日浮动：  0.00), 赛季kpm: 2.3, 游玩时长(小时): 0.9
1393 :  p6634epl0qdo        , 积分： 162.87  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 4.8
1394 :  grp3tz              , 积分： 162.81  (单日浮动：  0.00), 赛季kpm: 0.9, 游玩时长(小时): 1.2
1395 :  NenekLuGamer        , 积分： 162.75  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 5.0
1396 :  AlphaSTSk           , 积分： 162.70  (单日浮动： 18.52), 赛季kpm: 1.9, 游玩时长(小时): 0.9
1397 :  367865SJX           , 积分： 162.66  (单日浮动：  0.00), 赛季kpm: 1.4, 游玩时长(小时): 1.0
1398 :  lxbyue              , 积分： 162.57  (单日浮动：  0.00), 赛季kpm: 1.1, 游玩时长(小时): 2.6
1399 :  Str0ng_guys_        , 积分： 162.56  (单日浮动：  0.00), 赛季kpm: 2.8, 游玩时长(小时): 0.7
1400 :  ChuaTroi            , 积分： 162.54  (单日浮动：  0.00), 赛季kpm: 3.2, 游玩时长(小时): 0.7
1401 :  halanfeiren         , 积分： 162.54  (单日浮动：  0.00), 赛季kpm: 1.3, 游玩时长(小时): 2.2
1402 :  Chenmingtao         , 积分： 162.53  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 6.9
1403 :  BZFJD               , 积分： 162.51  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 5.7
1404 :  Lord89joker         , 积分： 162.50  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 2.5
1405 :  weipoiwei           , 积分： 162.50  (单日浮动：  0.00), 赛季kpm: 0.9, 游玩时长(小时): 1.1
1406 :  15457879            , 积分： 162.49  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 3.8
1407 :  Art2Csource         , 积分： 162.47  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 6.6
1408 :  IS1888              , 积分： 162.44  (单日浮动：  0.00), 赛季kpm: 1.1, 游玩时长(小时): 1.6
1409 :  Makima_shakima      , 积分： 162.40  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 2.1
1410 :  PHAiiiiii           , 积分： 162.36  (单日浮动：  0.00), 赛季kpm: 0.9, 游玩时长(小时): 1.9
1411 :  youeryuan77         , 积分： 162.34  (单日浮动：  0.00), 赛季kpm: 1.5, 游玩时长(小时): 1.2
1412 :  RIOFutabaQAQ        , 积分： 162.34  (单日浮动：  0.00), 赛季kpm: 1.9, 游玩时长(小时): 1.8
1413 :  Jirosense           , 积分： 162.27  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 3.2
1414 :  monadaisuki         , 积分： 162.24  (单日浮动：  0.00), 赛季kpm: 1.5, 游玩时长(小时): 1.1
1415 :  SAxxxt              , 积分： 162.21  (单日浮动：  0.00), 赛季kpm: 1.4, 游玩时长(小时): 2.1
1416 :  haoqishui           , 积分： 162.19  (单日浮动：  0.00), 赛季kpm: 0.9, 游玩时长(小时): 1.3
1417 :  syl9000             , 积分： 162.09  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 3.4
1418 :  miaojiu999          , 积分： 162.06  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 2.2
1419 :  6w5deguojia         , 积分： 162.03  (单日浮动：  0.00), 赛季kpm: 1.2, 游玩时长(小时): 2.2
1420 :  gyc312103           , 积分： 162.00  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 7.7
1421 :  dondoko_gollira     , 积分： 161.99  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 1.5
1422 :  Tw1slr              , 积分： 161.98  (单日浮动：  0.00), 赛季kpm: 1.7, 游玩时长(小时): 0.9
1423 :  lanbaikutou         , 积分： 161.96  (单日浮动：  0.00), 赛季kpm: 1.1, 游玩时长(小时): 2.1
1424 :  DraconemNidhogg     , 积分： 161.90  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 5.6
1425 :  Muchengwang         , 积分： 161.88  (单日浮动： 61.88), 赛季kpm: 2.7, 游玩时长(小时): 0.8
1426 :  USLLOL              , 积分： 161.88  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 4.4
1427 :  T_TOU_TOU_T         , 积分： 161.83  (单日浮动：  8.59), 赛季kpm: 0.6, 游玩时长(小时): 5.5
1428 :  yuyyzl              , 积分： 161.81  (单日浮动：  0.00), 赛季kpm: 1.2, 游玩时长(小时): 2.9
1429 :  bilibili120         , 积分： 161.78  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 0.7
1430 :  zhangshuaiqiang1    , 积分： 161.68  (单日浮动：  0.00), 赛季kpm: 1.3, 游玩时长(小时): 2.1
1431 :  10174826            , 积分： 161.63  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 3.7
1432 :  MadaoNT             , 积分： 161.51  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 7.2
1433 :  ailixiya29          , 积分： 161.47  (单日浮动：  0.00), 赛季kpm: 1.0, 游玩时长(小时): 2.8
1434 :  allenxie3141        , 积分： 161.43  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 8.9
1435 :  15964756700         , 积分： 161.40  (单日浮动： 17.88), 赛季kpm: 0.7, 游玩时长(小时): 4.3
1436 :  w80990942           , 积分： 161.34  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 7.0
1437 :  GAOZHUNWEI          , 积分： 161.34  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 5.3
1438 :  MAHIRO202           , 积分： 161.33  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.9
1439 :  wheelchair022       , 积分： 161.31  (单日浮动：  0.00), 赛季kpm: 2.7, 游玩时长(小时): 0.7
1440 :  TrinityT_T          , 积分： 161.18  (单日浮动：  0.00), 赛季kpm: 1.7, 游玩时长(小时): 1.0
1441 :  cc16913             , 积分： 161.16  (单日浮动： 61.16), 赛季kpm: 2.1, 游玩时长(小时): 0.7
1442 :  FoLome_z            , 积分： 161.15  (单日浮动：  0.00), 赛季kpm: 1.6, 游玩时长(小时): 1.0
1443 :  KE0M60              , 积分： 161.14  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 7.4
1444 :  woshiniyaa          , 积分： 161.14  (单日浮动：  0.00), 赛季kpm: 0.9, 游玩时长(小时): 3.0
1445 :  Daydreamer104       , 积分： 160.97  (单日浮动：  0.00), 赛季kpm: 1.1, 游玩时长(小时): 1.5
1446 :  XIANGYI007          , 积分： 160.94  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 1.6
1447 :  Bili-CloserQAQ-     , 积分： 160.90  (单日浮动：  0.00), 赛季kpm: 1.7, 游玩时长(小时): 1.5
1448 :  LINCJN              , 积分： 160.85  (单日浮动：  0.00), 赛季kpm: 2.5, 游玩时长(小时): 0.7
1449 :  SnakeDoctorFET      , 积分： 160.81  (单日浮动：  0.00), 赛季kpm: 2.9, 游玩时长(小时): 0.6
1450 :  wodeartwt           , 积分： 160.77  (单日浮动：  0.00), 赛季kpm: 1.6, 游玩时长(小时): 2.0
1451 :  E41D2023            , 积分： 160.77  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 6.7
1452 :  JiuMang_99          , 积分： 160.76  (单日浮动：  0.00), 赛季kpm: 1.9, 游玩时长(小时): 1.1
1453 :  Zhaorongdi          , 积分： 160.70  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 3.7
1454 :  zhenbianenan1       , 积分： 160.63  (单日浮动： 12.80), 赛季kpm: 0.6, 游玩时长(小时): 4.1
1455 :  c_naldooo           , 积分： 160.60  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 7.0
1456 :  ATengXXXX           , 积分： 160.48  (单日浮动：  0.00), 赛季kpm: 1.2, 游玩时长(小时): 1.0
1457 :  s4kutarou           , 积分： 160.44  (单日浮动：  0.00), 赛季kpm: 2.1, 游玩时长(小时): 1.0
1458 :  SCOMGANG            , 积分： 160.44  (单日浮动：  0.00), 赛季kpm: 1.2, 游玩时长(小时): 2.6
1459 :  chenruibiss         , 积分： 160.43  (单日浮动：  0.00), 赛季kpm: 1.1, 游玩时长(小时): 1.2
1460 :  dengchaipai         , 积分： 160.39  (单日浮动：  0.00), 赛季kpm: 2.2, 游玩时长(小时): 0.8
1461 :  cilcb5lzm6xb        , 积分： 160.35  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 0.7
1462 :  3108160             , 积分： 160.34  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 2.4
1463 :  MaybeTheNextDay     , 积分： 160.31  (单日浮动：  0.00), 赛季kpm: 1.5, 游玩时长(小时): 1.1
1464 :  txyr7               , 积分： 160.28  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 4.6
1465 :  ypxsnd              , 积分： 160.23  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 3.6
1466 :  Suomi-Natsuki       , 积分： 160.22  (单日浮动：  0.00), 赛季kpm: 1.3, 游玩时长(小时): 1.8
1467 :  Genshi7-Impact      , 积分： 160.11  (单日浮动：  0.00), 赛季kpm: 1.4, 游玩时长(小时): 1.1
1468 :  Vemomone            , 积分： 160.08  (单日浮动：  0.00), 赛季kpm: 0.9, 游玩时长(小时): 2.5
1469 :  Lgzstart            , 积分： 160.01  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 3.9
1470 :  nothingbutdream     , 积分： 159.99  (单日浮动：  0.00), 赛季kpm: 2.1, 游玩时长(小时): 1.5
1471 :  wuwuzzzwuwu         , 积分： 159.79  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 3.6
1472 :  orikuro8008         , 积分： 159.78  (单日浮动：  0.00), 赛季kpm: 1.1, 游玩时长(小时): 1.4
1473 :  Faker_John          , 积分： 159.68  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 1.2
1474 :  cdsafcasd           , 积分： 159.68  (单日浮动：  0.00), 赛季kpm: 1.1, 游玩时长(小时): 1.7
1475 :  llangzlcl           , 积分： 159.67  (单日浮动：  0.00), 赛季kpm: 1.9, 游玩时长(小时): 0.6
1476 :  kiritowjq           , 积分： 159.65  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 3.4
1477 :  Cat2811             , 积分： 159.61  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 6.0
1478 :  WFYZN               , 积分： 159.52  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 0.7
1479 :  SummerPockets16     , 积分： 159.47  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 4.5
1480 :  Pukuchun            , 积分： 159.44  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 5.6
1481 :  zhangsanuniverse    , 积分： 159.42  (单日浮动：  0.00), 赛季kpm: 1.3, 游玩时长(小时): 2.5
1482 :  furayou             , 积分： 159.38  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 2.7
1483 :  baijingtian121      , 积分： 159.36  (单日浮动：  0.00), 赛季kpm: 1.5, 游玩时长(小时): 1.3
1484 :  2587403701          , 积分： 159.35  (单日浮动：  0.00), 赛季kpm: 1.5, 游玩时长(小时): 0.9
1485 :  npsldlh             , 积分： 159.25  (单日浮动：  0.00), 赛季kpm: 1.0, 游玩时长(小时): 1.7
1486 :  Ahr1BadzZ           , 积分： 159.22  (单日浮动：  0.00), 赛季kpm: 1.9, 游玩时长(小时): 0.7
1487 :  4AMEmotionalDMG     , 积分： 159.18  (单日浮动：  0.00), 赛季kpm: 1.3, 游玩时长(小时): 1.9
1488 :  Jzz5                , 积分： 159.16  (单日浮动：  0.00), 赛季kpm: 2.7, 游玩时长(小时): 0.7
1489 :  cobaltstrike2       , 积分： 159.13  (单日浮动：  0.00), 赛季kpm: 2.7, 游玩时长(小时): 0.7
1490 :  Beanotaberu         , 积分： 159.12  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 0.7
1491 :  Wu1al0              , 积分： 159.10  (单日浮动：  0.00), 赛季kpm: 2.1, 游玩时长(小时): 0.9
1492 :  leinata             , 积分： 159.08  (单日浮动：  0.00), 赛季kpm: 0.1, 游玩时长(小时): 0.9
1493 :  Aka_syoga_25        , 积分： 159.07  (单日浮动：  0.00), 赛季kpm: 1.6, 游玩时长(小时): 1.1
1494 :  intghj              , 积分： 159.05  (单日浮动： 34.91), 赛季kpm: 0.7, 游玩时长(小时): 2.5
1495 :  SYECAN              , 积分： 159.02  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 2.6
1496 :  Shroudbest          , 积分： 159.00  (单日浮动：  0.00), 赛季kpm: 1.4, 游玩时长(小时): 0.9
1497 :  shi_a_zheng_ya      , 积分： 158.98  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 7.0
1498 :  LenTong77           , 积分： 158.95  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 1.8
1499 :  Whatever_QWQ        , 积分： 158.94  (单日浮动：  0.00), 赛季kpm: 1.6, 游玩时长(小时): 1.4
1500 :  Lv7_                , 积分： 158.89  (单日浮动：  0.00), 赛季kpm: 1.6, 游玩时长(小时): 1.0
1501 :  daijunkang          , 积分： 158.86  (单日浮动：  0.00), 赛季kpm: 1.2, 游玩时长(小时): 3.6
1502 :  ji_fjn              , 积分： 158.80  (单日浮动：  0.00), 赛季kpm: 1.5, 游玩时长(小时): 2.6
1503 :  Sw318318            , 积分： 158.75  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 4.3
1504 :  mari_soratan        , 积分： 158.75  (单日浮动：  0.00), 赛季kpm: 1.2, 游玩时长(小时): 1.0
1505 :  yggggg2333          , 积分： 158.73  (单日浮动：  0.00), 赛季kpm: 1.4, 游玩时长(小时): 1.3
1506 :  AFKiller1130        , 积分： 158.69  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 6.0
1507 :  djscoming           , 积分： 158.68  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 5.4
1508 :  TheLaiKai           , 积分： 158.67  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 1.1
1509 :  ChiYe-Dusk          , 积分： 158.66  (单日浮动：  0.00), 赛季kpm: 1.8, 游玩时长(小时): 1.3
1510 :  BAAAAG              , 积分： 158.61  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 1.8
1511 :  WMMTD               , 积分： 158.53  (单日浮动：  0.00), 赛季kpm: 1.4, 游玩时长(小时): 1.4
1512 :  z789525             , 积分： 158.51  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 8.3
1513 :  ArthurFloveY        , 积分： 158.48  (单日浮动：  0.00), 赛季kpm: 0.9, 游玩时长(小时): 2.0
1514 :  zzrjjj              , 积分： 158.44  (单日浮动： 15.59), 赛季kpm: 1.0, 游玩时长(小时): 2.6
1515 :  bill_tpe101         , 积分： 158.40  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 1.3
1516 :  urrzr3r1ldk9        , 积分： 158.38  (单日浮动：  0.00), 赛季kpm: 1.3, 游玩时长(小时): 2.0
1517 :  rulailailai123      , 积分： 158.36  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 3.2
1518 :  sicom66             , 积分： 158.31  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 7.1
1519 :  AUNTIFB             , 积分： 158.29  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 2.9
1520 :  azusa_wes           , 积分： 158.28  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 2.9
1521 :  wxlnn666            , 积分： 158.26  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 2.6
1522 :  EIysia000           , 积分： 158.26  (单日浮动： 22.06), 赛季kpm: 0.4, 游玩时长(小时): 3.5
1523 :  KaiGuaSml           , 积分： 158.25  (单日浮动：  0.00), 赛季kpm: 1.1, 游玩时长(小时): 2.6
1524 :  tomiogakiyu0        , 积分： 158.23  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 4.6
1525 :  MrsutE              , 积分： 158.11  (单日浮动：  0.00), 赛季kpm: 2.0, 游玩时长(小时): 1.0
1526 :  shuai3720           , 积分： 158.03  (单日浮动：  0.00), 赛季kpm: 1.1, 游玩时长(小时): 2.2
1527 :  _zero_AyaNamI       , 积分： 157.99  (单日浮动： 10.21), 赛季kpm: 1.5, 游玩时长(小时): 1.0
1528 :  RTX2800TI           , 积分： 157.98  (单日浮动： 57.98), 赛季kpm: 1.3, 游玩时长(小时): 0.8
1529 :  lyl050305           , 积分： 157.96  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 1.0
1530 :  exdousxx            , 积分： 157.87  (单日浮动：  0.00), 赛季kpm: 0.9, 游玩时长(小时): 4.1
1531 :  Messier642          , 积分： 157.85  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 3.0
1532 :  5izk4cq1qkm6        , 积分： 157.82  (单日浮动：  0.87), 赛季kpm: 0.6, 游玩时长(小时): 4.4
1533 :  NoobGuaSB           , 积分： 157.76  (单日浮动：  0.68), 赛季kpm: 1.6, 游玩时长(小时): 1.1
1534 :  Carydz              , 积分： 157.69  (单日浮动：  0.00), 赛季kpm: 1.3, 游玩时长(小时): 1.3
1535 :  rai690110           , 积分： 157.67  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 4.3
1536 :  qhrlukadhbryant     , 积分： 157.50  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 7.0
1537 :  starjamjuice        , 积分： 157.44  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 3.3
1538 :  4f6b6e1649d4775a    , 积分： 157.43  (单日浮动：  0.00), 赛季kpm: 4.0, 游玩时长(小时): 0.5
1539 :  2035235018          , 积分： 157.42  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 1.0
1540 :  Sinoatrial_n0de     , 积分： 157.34  (单日浮动：  0.00), 赛季kpm: 1.0, 游玩时长(小时): 2.2
1541 :  Andyliang112        , 积分： 157.29  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 8.5
1542 :  laiwenda            , 积分： 157.27  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 3.1
1543 :  AmazingDDP          , 积分： 157.19  (单日浮动：  0.00), 赛季kpm: 1.5, 游玩时长(小时): 1.0
1544 :  Xx_A01ai_xX         , 积分： 157.11  (单日浮动：  0.00), 赛季kpm: 1.2, 游玩时长(小时): 1.4
1545 :  LittleStar10086     , 积分： 157.06  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 4.5
1546 :  OhsEnding           , 积分： 157.05  (单日浮动：  0.00), 赛季kpm: 3.0, 游玩时长(小时): 0.5
1547 :  llxchg              , 积分： 157.01  (单日浮动：  0.00), 赛季kpm: 1.0, 游玩时长(小时): 1.7
1548 :  OPK--Satar----04    , 积分： 157.00  (单日浮动：  0.00), 赛季kpm: 2.4, 游玩时长(小时): 0.8
1549 :  as7rfx              , 积分： 156.99  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 5.5
1550 :  baommz              , 积分： 156.93  (单日浮动：  0.00), 赛季kpm: 1.3, 游玩时长(小时): 1.1
1551 :  WTM_wan_Genshin     , 积分： 156.93  (单日浮动：  0.00), 赛季kpm: 1.3, 游玩时长(小时): 1.4
1552 :  JXuJx               , 积分： 156.87  (单日浮动：  0.00), 赛季kpm: 2.7, 游玩时长(小时): 0.9
1553 :  tommy_f777          , 积分： 156.85  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 6.6
1554 :  wsnbhh8             , 积分： 156.77  (单日浮动：  0.00), 赛季kpm: 1.3, 游玩时长(小时): 1.4
1555 :  sszk1231            , 积分： 156.74  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 6.2
1556 :  YiYe_RunRun         , 积分： 156.72  (单日浮动：  0.00), 赛季kpm: 1.5, 游玩时长(小时): 0.8
1557 :  dirtykite           , 积分： 156.72  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 3.4
1558 :  HECHENGMUYU         , 积分： 156.72  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 3.9
1559 :  Ritchie-CN          , 积分： 156.71  (单日浮动：  0.00), 赛季kpm: 1.0, 游玩时长(小时): 1.8
1560 :  BXNWYRO             , 积分： 156.64  (单日浮动：  0.00), 赛季kpm: 1.8, 游玩时长(小时): 0.8
1561 :  yagerman0           , 积分： 156.58  (单日浮动：  0.00), 赛季kpm: 1.2, 游玩时长(小时): 1.2
1562 :  y111u               , 积分： 156.57  (单日浮动：  0.00), 赛季kpm: 0.4, 游玩时长(小时): 6.2
1563 :  KXINQI              , 积分： 156.49  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 4.0
1564 :  8pdd                , 积分： 156.49  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 2.0
1565 :  vitor5168           , 积分： 156.47  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 3.6
1566 :  614855              , 积分： 156.44  (单日浮动：  0.00), 赛季kpm: 0.6, 游玩时长(小时): 5.7
1567 :  wanfengfumian       , 积分： 156.38  (单日浮动：  0.00), 赛季kpm: 1.7, 游玩时长(小时): 0.7
1568 :  wuruawurua          , 积分： 156.35  (单日浮动：  0.00), 赛季kpm: 1.4, 游玩时长(小时): 1.4
1569 :  An-Le_77777         , 积分： 156.27  (单日浮动：  0.00), 赛季kpm: 1.9, 游玩时长(小时): 1.4
1570 :  SAK-beiyue2         , 积分： 156.13  (单日浮动：  0.00), 赛季kpm: 1.1, 游玩时长(小时): 1.5
1571 :  ToTToTToTToT        , 积分： 156.00  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 1.5
1572 :  Rineast             , 积分： 155.98  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 3.6
1573 :  CaaryVan            , 积分： 155.94  (单日浮动：  6.23), 赛季kpm: 0.9, 游玩时长(小时): 3.6
1574 :  huwuphmk            , 积分： 155.92  (单日浮动：  0.00), 赛季kpm: 1.0, 游玩时长(小时): 1.5
1575 :  asdll9922           , 积分： 155.86  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 1.3
1576 :  zhu17601490132      , 积分： 155.74  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 7.0
1577 :  TANGTANGZHICHI      , 积分： 155.73  (单日浮动：  0.00), 赛季kpm: 2.1, 游玩时长(小时): 0.7
1578 :  lux121381           , 积分： 155.72  (单日浮动：  0.00), 赛季kpm: 0.1, 游玩时长(小时): 2.1
1579 :  Atriania            , 积分： 155.72  (单日浮动：  0.00), 赛季kpm: 1.7, 游玩时长(小时): 1.0
1580 :  114hug514           , 积分： 155.63  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 2.1
1581 :  because3215         , 积分： 155.54  (单日浮动：  0.00), 赛季kpm: 1.0, 游玩时长(小时): 1.3
1582 :  uncorn713           , 积分： 155.46  (单日浮动：  0.00), 赛季kpm: 0.2, 游玩时长(小时): 1.3
1583 :  MoYiLuo             , 积分： 155.44  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 3.4
1584 :  WOAZHL              , 积分： 155.41  (单日浮动：  0.00), 赛季kpm: 2.0, 游玩时长(小时): 0.7
1585 :  Yulozero            , 积分： 155.37  (单日浮动：  0.00), 赛季kpm: 2.2, 游玩时长(小时): 1.0
1586 :  -Wis2MeLuck-        , 积分： 155.30  (单日浮动：  0.00), 赛季kpm: 2.0, 游玩时长(小时): 0.8
1587 :  ADGnbnb             , 积分： 155.29  (单日浮动：  0.00), 赛季kpm: 0.3, 游玩时长(小时): 1.3
1588 :  YKISHEz             , 积分： 155.27  (单日浮动：  0.00), 赛季kpm: 1.8, 游玩时长(小时): 1.0
1589 :  wenxueshaonian      , 积分： 155.25  (单日浮动：  0.00), 赛季kpm: 1.2, 游玩时长(小时): 1.9
1590 :  guojincheng         , 积分： 155.25  (单日浮动：  0.00), 赛季kpm: 1.0, 游玩时长(小时): 2.0
1591 :  KIDKEYMOCL          , 积分： 155.25  (单日浮动：  0.00), 赛季kpm: 1.1, 游玩时长(小时): 1.9
1592 :  K_eagle1531         , 积分： 155.17  (单日浮动：  0.00), 赛季kpm: 1.0, 游玩时长(小时): 2.1
1593 :  Peripatetlcism      , 积分： 155.13  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 1.7
1594 :  aaAdvh              , 积分： 155.12  (单日浮动：  0.00), 赛季kpm: 1.5, 游玩时长(小时): 0.7
