1,-WorstZx-,944.10,  0.00,3.5,11.9, 2465,   47
2,A-LiuCheNGJiN,928.69,  0.00,3.5,11.2, 2349,   61
3,indulgere,839.81, 24.46,3.4,12.7, 2571,   46
4,Youar3myGospe1,790.47,  0.00,2.7,36.4, 5791,  378
5,Bruno_DaJIanG,761.41,  0.00,3.5,13.7, 2839,   49
6,-DesMoineZ_-,760.84,  0.00,4.0,6.5, 1582,   31
7,XueCun-QianHuiL1,757.71, 13.29,2.7,48.4, 7939,  642
8,StayYouWithMe,754.89,  0.00,3.1,14.2, 2680,  212
9,Aimeilio,740.60,  0.00,2.6,25.0, 3875,  179
10,YinSiKaiDanGKu,735.69, 18.75,3.0,13.6, 2475,   81
11,memoria-1XUDFJJ,717.69,  0.00,3.0,8.8, 1562,   20
12,A-LiuCheNGBeTA,716.28,  0.00,2.6,14.3, 2199,   60
13,BuYaoFaDaiLe,713.56, 20.42,3.0,17.4, 3090,  171
14,S547ean,705.25,  0.00,2.4,7.1, 1030,  262
15,J0ngleuR,704.98,  0.00,2.7,1.9,  307,   14
16,Minananaaaa,703.33, 19.99,2.5,11.0, 1675,   13
17,WhiteInte_Tyrant,699.94,  0.00,2.9,9.9, 1734,   50
18,wowanyuanshen123,697.15,  0.00,2.5,21.7, 3300,  840
19,cunkuan17kuai,692.60, 12.30,2.8,4.6,  781,   22
20,Str0ng_guys_,690.76,  0.00,3.9,3.2,  742,    1
21,Sunflow3,688.08,  6.58,2.3,22.2, 3085,  103
22,ZeroCoIa,685.35,  0.00,2.0,27.2, 3220,  214
23,Jeenyuhssss,684.48, -0.68,2.6,18.5, 2913,   29
24,LminGdI,682.98, -1.26,2.0,28.7, 3363,  510
25,facemyloose,682.37,  0.00,2.1,32.5, 4145,  665
26,SENlLIAMMMMMMMMM,676.82,  0.00,3.8,8.4, 1919,   37
27,Assaultsss,676.68,  0.00,3.1,13.8, 2601,   59
28,U-Official258,673.04,  0.00,2.4,14.6, 2133,  123
29,-Onmywaaaay-,671.18,  1.55,2.3,37.6, 5076,  459
30,7AMELive,667.62,  0.00,2.5,15.1, 2267,  306
31,_FL0wer_77,667.20, 18.56,3.3,13.1, 2572,   76
32,OldMem0ry,662.76,  2.54,2.2,42.7, 5643,  369
33,WhiteMistGlac1er,661.04,  0.00,1.9,40.8, 4545,  251
34,JW9871X,652.95,  0.00,2.6,3.9,  616,   58
35,-SAGA-gawr,651.37,  0.00,1.6,18.3, 1770, 1394
36,Hen_ji_trace,641.42,  6.77,2.2,34.2, 4551,  689
37,RPG_200403,635.27,  0.00,2.6,16.0, 2495,   59
38,TatSuMiiiii,626.12,  0.00,2.8,4.9,  826,   69
39,Shy_SuperNoVa,624.87,  0.00,2.5,17.7, 2700,  140
40,Zeenee2,620.12,  0.00,2.8,0.8,  127,    0
41,slowalking_life,619.23, -3.85,2.2,20.7, 2725,  158
42,-EvenSlayerR-,617.70,  0.00,3.9,3.5,  828,   63
43,dnfwangwenjie,612.91,  0.00,2.1,32.3, 4106,  173
44,wLoliveu,612.64,  2.94,3.2,10.0, 1924,   87
45,X4zBili_-5270289,611.72,  0.00,2.7,10.7, 1717,   42
46,FamiliesWhoKnow,606.50, 13.77,2.2,18.2, 2361,  178
47,decliu,606.39,  0.00,2.7,14.5, 2380,  205
48,aX1n2021,604.86,  0.00,3.0,6.3, 1148,   69
49,LDD_DoubleCrit,602.83,  2.66,1.9,41.1, 4601,  482
50,ArtisitHeCaiJuan,601.22, 15.35,2.1,19.9, 2457,  276
51,DaBaiHHH,594.86,  0.00,2.9,6.1, 1069,   34
52,ImperialMohaMoha,592.56,  0.00,2.1,14.0, 1744,  348
53,Lum1ne5cence,591.01,-13.80,2.0,43.6, 5170,  560
54,YvX1a,579.20,  0.00,3.0,7.7, 1375,   28
55,sjdfkkfja,575.86,  0.40,1.8,33.5, 3617,   64
56,wozhennblm666,575.45, 31.78,4.0,7.4, 1784,   29
57,nzk0079-Paimon,575.07,  0.00,2.0,20.1, 2458,  161
58,DouYin_YL666,574.86, 70.19,3.2,8.2, 1550,   45
59,XKLiaR_,573.51,  0.00,3.8,5.0, 1126,   67
60,1O-Haruna-O1,572.66,  0.00,2.1,12.1, 1543,   58
61,-Ken1VeDyFPS-_1,569.00,  0.00,3.2,5.1,  973,   20
62,DRY_RAIN233,566.28, 10.39,2.4,12.7, 1840,  305
63,AYAOFPS,564.57,  0.00,1.8,10.1, 1069,  105
64,HanFeiDingZhen,564.36, -1.90,1.7,10.2, 1054,   63
65,somber-chips,562.26,  0.00,2.1,31.4, 3863,  419
66,KaiGuaS1Ma_Ax1Le,561.90,  0.00,2.8,8.3, 1399,   77
67,A-LiuCheNGSiN,560.60,  0.00,2.3,4.5,  622,   17
68,whiteYD1299,560.37,  0.00,2.7,6.2,  998,   40
69,Wen_X1n_Zhu,560.03, 35.20,1.7,36.1, 3671,  693
70,JacksoN_Leeeee,559.15,  3.61,1.9,45.4, 5170,  325
71,NBNBdalaozhang,558.66,  0.00,3.0,6.2, 1119,   57
72,_oStayWithMe_,557.25,  0.00,2.4,12.8, 1845,   15
73,Minimarszpw,556.60,  0.00,2.4,7.4, 1048,   22
74,1tsGreektome,555.43, 20.98,2.6,2.4,  362,   20
75,TnoLB,550.56,  0.00,4.0,1.2,  300,    5
76,TaffyFPS,547.65,  0.00,2.9,7.2, 1239,   75
77,-Dre3a7m_L1ke383,545.58,  0.00,2.2,6.7,  891,  160
78,QlANNIAORUIQIANG,545.05, 44.77,2.6,5.3,  841,   29
79,cunkuan91kuai,543.79,  0.00,3.6,1.5,  332,    8
80,Greenp1ayer,540.83,  0.00,3.8,0.8,  191,    7
81,ChaiN_structioN,539.70,  0.00,2.8,4.7,  784,   36
82,Msstr1y,539.35, -1.53,1.7,22.8, 2362,  428
83,BismarckBS,538.79,  0.00,1.6,16.7, 1617,  111
84,-Close319,538.14,  0.00,1.7,23.4, 2411,   64
85,ChaffererDevil,537.95,  0.00,3.8,0.9,  204,    4
86,Cooky_Yummy,537.49, 10.18,1.7,60.0, 6287, 1088
87,zhengpe,536.74,  0.00,2.3,1.6,  224,    6
88,AmazingDDP,535.48,  0.00,2.2,8.1, 1073,   64
89,wo-xi-xiao-mao,535.04,  0.00,2.5,17.9, 2636,  482
90,GJHui,533.47,  0.00,2.0,19.2, 2314,  156
91,facewow,533.10,  9.93,1.8,29.0, 3211,   71
92,-D1oNiysus-,530.49,  0.00,2.7,3.5,  555,    9
93,EmuPenguin,523.98,  0.00,1.9,8.1,  908,   29
94,1M1ssGardenia,523.44,  0.00,2.0,11.3, 1375,   63
95,torororot,522.82,  0.00,2.0,15.2, 1869,   32
96,wfYgL,521.29,  0.00,0.7,14.3,  626, 1466
97,ylfcjdsg,521.29,  8.05,1.4,57.7, 4784,  888
98,KillsaKy,518.94,  0.00,3.0,7.5, 1345,   21
99,dgfdsgdfggh,518.15,  0.00,2.7,1.0,  161,    0
100,Yommyko_QAQ,515.73,  0.00,2.5,10.9, 1649,  107
101,--DDsRabb1t,514.65,  0.00,2.1,6.0,  754,   24
102,hea1theworld,514.42,  8.36,1.8,16.9, 1858,  522
103,abailua,511.99,  0.00,2.6,5.3,  844,   52
