1,Bili-LordShaxx,780.03,  0.00,3.9,19.8, 4618,  219
2,AcaciaInLotus,761.57,  0.00,3.3,25.0, 4909,  142
3,HopeShredder,710.28,  0.00,3.0,19.2, 3468,  410
4,Otah_123,685.04,  5.75,2.8,21.9, 3724,  320
5,hunting-C,654.12,  0.00,2.4,36.9, 5358,  373
6,v_BAYONET_v,652.81,  0.00,2.6,23.0, 3523,  125
7,Waitzstorm,638.04,  0.87,2.4,28.6, 4037,  109
8,BlackMirrorPL,632.98,  0.00,3.3,11.2, 2237,  195
9,v_EyeShield_v,625.28,  0.00,2.9,15.2, 2659,   46
10,S3ncho,610.69, 11.75,2.2,19.7, 2662,  355
11,s4kutarou,597.03,  0.00,2.8,11.7, 1974,   38
12,N0thingT0say0,578.26,  0.00,2.2,24.3, 3247,   58
13,-DUDE-IN-DUSK,559.59,  0.00,2.5,18.1, 2712,  121
14,Z1nYoRiTa,558.80,  0.00,3.3,9.6, 1885,   24
15,c4fesuk1,554.30,  0.00,2.6,11.1, 1731,   32
16,ggweag,550.65,  0.00,2.6,16.3, 2513,   90
17,Miyaguri_Akari,546.14,  0.00,4.4,8.0, 2122,   68
18,DeepLock9,545.83,  0.00,4.0,8.4, 2015,   56
19,ZiZaiJiYiGong,543.19,  0.00,2.8,10.5, 1758,   68
20,zelme,531.58,  0.00,2.0,22.1, 2673,   72
21,Aeiyxq,528.24,  0.00,2.0,40.6, 4776,   65
22,-Ken1VeDyFPS-_1,518.99, 25.36,3.0,9.6, 1727,   51
23,Bulesss,513.51,  0.00,2.6,8.3, 1288,   39
24,J1N_011,504.89,  0.00,1.7,22.2, 2238,  580
25,gongxifacaizzz,498.06, 37.26,3.2,8.1, 1540,    6
26,-Analysis-0131,493.14,  1.56,2.1,14.7, 1826,  183
27,Shymoli,491.92,  0.00,3.0,7.8, 1385,   77
28,chachachatako,491.73, 26.43,1.9,14.0, 1587,  378
29,2321ow0,487.09,  0.00,3.6,6.6, 1431,   15
30,B1Eup,485.66,  0.00,3.1,8.2, 1536,   57
31,lamp_olll,483.18,  4.71,1.7,17.1, 1764,  528
32,torabli,472.57, 16.23,2.4,10.1, 1425,  106
33,Gewehr_3Bar3,466.22,  0.00,3.1,7.6, 1387,   22
34,NOLIMIT_R1,464.17, 30.68,2.1,9.1, 1149,  104
35,Raditra,449.07,  0.00,2.0,9.2, 1085,   89
36,yanyansi_7474,443.79,  0.00,1.5,13.5, 1256,  142
37,Ac3ro1a,442.36,  0.00,1.7,11.3, 1131,  169
38,Eye_JOker,441.91,  0.00,2.0,13.4, 1638,  138
39,Hatsune3iku9,435.61,  0.00,3.4,5.8, 1165,   60
40,yukibyakuya,434.17,  0.00,1.5,12.2, 1096,   34
41,Hakumokuren890,431.39,  0.00,1.6,16.2, 1533,  378
42,hidden-fangs,424.52,  0.00,2.2,10.0, 1309,   34
43,GGlove80,422.06,  0.00,3.7,4.8, 1077,   34
44,2pm-bing,420.67,  0.00,1.2,26.7, 2003,  371
45,WaterOfMuelsyse,417.61,  0.00,3.0,6.2, 1108,   44
46,JW9871X,416.82,  0.00,3.0,5.9, 1063,   41
47,A-Emaj7-Cm9-Fm7,415.00,  0.00,4.3,4.8, 1251,   20
48,Strayerhunter,414.35,  0.00,3.7,5.1, 1151,   38
49,B0_1uo_bao,408.97,  0.00,2.2,8.4, 1084,   41
50,EIectroniArts,408.22,  0.00,1.5,18.0, 1627,   94
51,Nappu007,407.85,  0.00,1.9,10.8, 1235,  116
52,GameLife1638,405.81,  6.96,1.4,19.5, 1682,  280
53,teamspeaker1,405.49,  0.00,3.4,5.0, 1027,   20
54,Kheimonas,402.74,  0.00,2.6,6.4,  988,   57
55,AIoneWoIf,400.55,  0.00,2.7,5.6,  897,   24
