1,BiliBili11731881,1045.38,  6.17,3.4,93.6,19053,  797
2,1-AE86-1,743.78,  0.00,0.2,45.4,  421, 7665
3,mor1en,729.84,  4.86,2.7,23.4, 3773,  248
4,KoNoM4M4,716.30, 21.82,2.5,31.4, 4672,  201
5,BILIBILI26987323,701.26,  0.06,2.6,22.7, 3577,   78
6,gentlemanW,694.54,  0.00,2.4,78.4,11255,  331
7,A-LiuCheNGJiN,691.10, -6.93,2.8,21.1, 3602,  144
8,BABYNICE1,683.60, 11.35,2.0,38.8, 4566,  257
9,SayLoveMikasa,654.58, -0.87,2.1,21.3, 2736,  100
10,ZiZaiJiYiGong,649.37,  3.30,2.5,33.8, 5121,  126
11,FliegerFaust225,642.92, 26.51,2.0,104.8,12648,  267
12,uniformRod,641.02,  0.00,2.8,19.8, 3360,   95
13,GodYuanzZ,627.79,  0.00,2.5,17.8, 2674,  158
14,BiliBili24430930,627.07, 12.12,2.6,15.2, 2356,  166
15,AAAAAAKail-,616.28,  0.00,2.4,15.9, 2310,   73
16,CrocodileFigure,613.02, -8.72,1.9,49.6, 5703,  278
17,China1goat,589.27,  0.00,2.2,20.7, 2768,  330
18,AboutMande,582.84,  0.00,2.2,21.9, 2945,   99
19,zhanchege77A,574.19,  0.00,2.2,24.1, 3171,  192
20,DuckZzy,555.69,  0.00,2.0,29.1, 3449,   83
21,-SunGoooukong-,550.24,  6.10,1.6,33.5, 3290,  490
22,indulgere,548.12,  0.00,2.7,12.3, 1993,   69
23,q413465507,546.79,  0.00,2.3,11.2, 1547,   65
24,GreyHound1sT,543.67, -3.15,2.4,24.9, 3658,  102
25,Pineberry,538.50, 31.39,2.0,24.4, 2959,  107
26,HQG8,537.64,  0.00,1.8,34.7, 3730,   98
27,TohsakaRin1161,535.74,  0.00,1.7,12.2, 1272,  316
28,BiIiBiIi-7519337,533.64, 10.06,2.3,13.2, 1796,  196
29,Sniper_Gushun,527.80,  0.00,2.1,16.9, 2171,  311
30,MountainRabbit9,526.07,  0.00,1.6,25.9, 2556,  163
31,fuurita,523.47,  5.73,1.7,33.7, 3376,  384
32,LionWhite117,518.07,  0.00,1.8,17.4, 1928,   41
33,Lm_Solitary,513.59,  0.00,2.4,12.2, 1757,   56
34,AndyandLave,512.52, 10.39,1.7,21.7, 2259,  111
35,piaopiao3,511.59,  0.00,1.9,24.0, 2720,  193
36,-PistolV-,503.76,  0.00,1.5,40.7, 3628,  542
37,Lonely-pao,501.20, 30.17,1.6,70.9, 6878,  731
38,XXXXXXXXXXXf,501.01,  0.00,2.0,22.6, 2684,  232
39,B1Eup,499.89, 15.52,1.8,14.6, 1579,  109
40,Mom1ngvvv,496.50,  0.00,1.7,36.0, 3602,  326
41,killmedarlin,495.10, 11.89,1.4,18.8, 1597,  128
42,Nananaaaami,491.20,  5.77,2.5,9.3, 1414,   20
43,LzoyoiYui,485.10,  0.00,2.6,8.4, 1324,  146
44,FastLetMeSeeSee,484.10, 13.99,1.9,13.7, 1567,   77
45,-DesMoineZ_-,482.18,  0.00,2.8,9.9, 1648,   17
46,TuanQueMao,481.18,  4.98,1.2,17.2, 1213,  778
47,NaritaDaijin,479.02,  0.00,1.5,14.9, 1307,   49
48,shushu15632,476.44,  0.00,2.5,8.5, 1284,   39
49,Ko7yosh,473.31,  0.00,2.9,7.1, 1243,   45
50,BruceLRL,469.76, 53.70,1.7,11.8, 1166,   51
51,Lachryml,463.18, 58.03,2.0,9.8, 1186,   27
52,Aqiiiiiiiiiiiii,458.17,  0.00,2.6,6.4, 1004,   33
53,TheeCurseMyName,456.36,  0.26,2.4,12.0, 1760,   75
54,DY-gangpao,456.13, 15.58,2.2,9.8, 1272,   34
55,Tademizang,455.62,  0.00,3.2,6.3, 1194,   12
56,cxkdlqydynb,454.83, 33.83,1.6,13.5, 1296,  472
57,_Escape_Romeo_ll,454.82,  0.00,1.7,12.5, 1301,  145
58,1amsotired,454.07,  0.00,1.8,13.9, 1518,   80
59,jiangxiu123,453.97,  0.00,1.9,13.7, 1596,   91
60,Blood-reigns,452.99,  4.07,1.3,18.2, 1462,  222
61,AzGoodYzzzzzz,450.00,  0.00,1.4,26.4, 2165,   46
62,CrazyOneTap_p,449.68,  0.00,1.5,23.4, 2137,  378
63,AiHeX1Cha,447.75, 25.16,1.7,15.2, 1583,  107
64,Ranni_Moon,445.19,  0.00,2.1,10.5, 1298,   64
65,casual_pll,443.83,  6.79,1.3,17.3, 1343,  132
66,budengshi,443.09,120.25,2.1,6.5,  838,   55
67,JacobSoHot,441.08,  0.00,0.4,11.5,  284, 1376
68,Yousleepsleep,440.30,  0.26,1.6,13.1, 1248,   42
69,ITioxxssss,436.76,  5.13,1.5,16.2, 1410,  213
70,BlacksPrayMan,435.07,  0.00,1.5,20.7, 1862,  142
71,YZH179,434.74,  6.84,1.5,9.3,  862,   44
72,Jzz1,434.38,  6.27,2.4,7.7, 1115,   30
73,DraRabbon,432.13, 14.95,1.2,40.8, 2850,  201
74,HK416_Little-umi,429.45,  0.00,2.5,6.8, 1022,   40
75,Fulingaaa,426.99,  0.00,1.8,10.2, 1098,  100
76,BigOldKing,425.40,  9.69,1.5,7.8,  723,  277
77,RuanmianMdeZiDaN,421.53,  8.86,1.9,8.8,  993,   25
78,SerMaxLK,417.26, 20.02,1.3,17.9, 1439,  140
79,zhoudanny,411.34,  0.00,1.4,16.6, 1380,  242
80,fivezhang,410.78,  0.00,1.7,9.9,  985,  352
81,iGo_Hxs_kyert,409.51,  0.00,1.5,13.0, 1204,   20
82,taotaoohh,409.29,  0.00,1.3,20.9, 1619,   69
83,Years-of-dreams,406.84,  0.00,1.9,14.4, 1639,   87
84,Jametibiriuskirk,406.25,  0.00,2.7,5.6,  896,   44
85,biwang2020,404.83,  0.00,1.9,10.6, 1226,   17
86,PYZPYZPYZPYZ,402.09,  0.00,1.0,28.5, 1765,  329
87,loveISabuse,398.54,  0.00,1.1,27.8, 1792,  295
88,SugerFreeSprite,397.25,  0.00,1.1,19.0, 1300,  264
89,Uknowrukicute,395.33,  0.00,1.4,20.0, 1635,  166
90,xiaotuzi1221,394.15,  0.00,1.4,10.8,  899,  127
91,Zhanghan789,393.99, 28.31,2.3,6.6,  929,   62
92,Bomura_can,393.97,  0.00,3.1,4.6,  852,   43
93,CN-alick0078,389.61, -0.16,1.0,30.4, 1747,  573
94,SleepyLeviathanV,388.90,  0.00,1.0,27.5, 1674,  493
95,URGODPAPA,387.50,  0.00,1.4,12.6, 1019,   86
96,Daxing3998,386.62,  0.00,1.3,10.8,  872,  275
97,BiLI-YunQu,386.13,  0.00,1.1,31.8, 2172,  160
98,SuperJiaXin-Baby,384.92,  0.00,2.0,6.5,  789,   22
99,RAW_huntsman,383.27,  0.00,2.3,6.5,  873,   51
100,Huatangtangya,381.22,  0.00,1.2,16.5, 1198,  564
101,KFC_Fox,380.16,  0.00,1.7,10.3, 1055,  103
102,CT-ChibaTakumi,378.59,  0.00,1.8,6.5,  697,  195
103,Hatsune3iku9,378.02,  0.00,3.4,4.5,  929,   15
104,TUGUOTV,377.89,  0.00,2.7,5.2,  847,   35
105,BieHuiTou-itsM,376.46,  0.00,1.9,6.6,  765,   24
106,Little-Noob-1,372.99, 40.28,2.3,5.1,  702,   10
107,springbreez,371.84,  0.22,1.3,19.2, 1480,   94
108,JOJO_YouGurt,368.61,  0.00,1.4,10.9,  949,  117
109,detachmentllk,365.17, 20.55,1.1,18.0, 1227,  117
110,Ulla-Zaccheus,364.23,  0.00,1.2,18.5, 1318,  105
111,SeKiro1207,364.08,  0.00,0.8,10.4,  523,  600
112,SHY_HH9527,363.77,  0.00,1.1,12.5,  839,  182
113,xiao_HongM9,360.66,  0.00,2.0,6.2,  743,   86
114,YURISA140,359.34,  0.00,0.9,31.4, 1681,  317
115,King-Dingzhen,356.91, -0.69,2.0,6.7,  795,   73
116,hanhuaxuezang,356.51,  0.00,1.6,9.3,  913,  165
117,ElderlywoR-,354.91,  0.00,1.3,12.2,  931,   30
118,-Ssschnappiii-,351.13, 14.69,1.4,8.1,  690,   93
119,STG44MyLove,350.06,  3.78,1.2,22.0, 1523,  241
120,FujlwaraSakuya,344.95,  0.00,2.2,3.6,  465,   13
121,BiliBili22812055,344.16,  0.00,3.7,3.4,  742,   13
122,A-LiuCheNGL0nG,342.72,  0.00,2.2,6.1,  822,   21
123,Likelog,340.75,  0.00,1.4,9.3,  802,  121
124,Northy-Sakura,339.17, 14.84,0.8,27.6, 1282,  338
125,lxw1111123,339.16,  0.00,0.9,38.3, 1983,  167
126,HalloXiaotao,337.91,  0.00,1.4,8.8,  754,   66
127,bytuizi,337.79,  0.00,1.8,6.8,  730,   56
128,_9GZIB,337.75,  0.00,1.8,4.4,  478,   32
129,-L1ghtDeath-,337.06,  0.00,1.5,10.9,  998,   25
130,BreaktheSilenceE,334.66,  0.00,1.5,8.5,  757,   74
131,HrbZzy,334.21,  0.00,1.6,9.0,  836,   54
132,Bili_23159769,333.80,  0.00,1.6,5.9,  577,   63
133,9tk1,331.48,  0.00,2.1,5.4,  699,   37
134,tong1laotan,330.51,  0.00,1.1,16.1, 1093,   66
135,daijiaobu1203,330.50, 25.10,1.3,7.7,  611,  136
136,JulioBombC,329.38,  4.60,0.9,27.5, 1562,  152
137,IuHgNahCniL,329.14,  0.00,1.6,7.6,  753,   66
138,GoldTulips,327.60,  0.00,2.0,4.0,  490,  111
139,LVMFF,327.42,  3.14,1.2,16.1, 1176,   43
140,-ike1v3-,326.94,  0.00,1.0,10.5,  625,  136
141,Gsw68512456,326.03, 26.30,1.1,14.8,  969,   71
142,1225790815,324.57,  0.00,1.1,12.7,  818,  206
143,inwl_neo,323.81,  0.00,1.1,13.5,  901,   74
144,Cuendillar349,322.42,  0.00,1.3,11.0,  878,  132
145,Co1or_Ar,321.55,  0.00,1.2,19.5, 1403,   40
146,Bruno_DaJIanG,321.52,  0.00,2.5,4.4,  649,   27
147,iAngNa,320.94,  0.00,2.3,5.4,  730,   17
148,wdadsddddd,320.66,  0.00,1.2,12.0,  850,   88
149,mhbbt_666,320.27,  0.00,1.9,4.3,  495,   41
150,WarcriminalsV,318.04,  0.00,1.6,7.8,  737,   20
151,MakeMeBetter,318.03,  0.00,2.2,3.8,  507,   36
152,PLA_Moon,318.01,  0.00,1.9,6.5,  732,   63
153,Rel-Mayerrr,315.64,  0.00,2.1,4.4,  571,   16
154,CreamStick666,314.11,  0.00,1.3,6.5,  526,  107
155,20210523Q,313.52,  0.00,1.3,6.6,  537,  154
156,OqWYow,313.45, 20.90,1.0,15.8,  982,   82
157,GuLixiao,313.38,  0.00,1.5,6.1,  550,   74
158,-SamaranchV-,313.25,  0.00,3.1,2.9,  540,   19
159,PossessiveH,312.81,  0.00,1.4,7.4,  600,   98
160,ganfeiJapanese,311.25,  2.28,0.9,22.3, 1186,  202
161,Hongzhuzhu1,311.17,  0.00,3.0,3.1,  552,   29
162,Asacos,310.97,  8.48,0.9,18.4,  940,  319
163,G36_Ch13f_M41d,310.59,  0.00,1.6,6.4,  612,   59
164,KaiLuShouJieSi,309.11,  0.00,2.5,3.1,  463,   27
165,g90918,308.74,  1.77,1.4,8.0,  646,   63
166,OpsoRyan,308.67,  0.00,1.6,5.6,  550,   27
167,jackeylov333333,308.06,  0.00,1.1,13.8,  900,  141
168,laoyao-x,307.55,  0.00,2.9,2.7,  475,   26
169,SinoharaAkari,307.37,  0.00,1.6,5.9,  578,   19
170,long78971,307.09,  0.00,2.9,3.1,  553,   49
171,Augustzzzz1,306.28,  0.00,1.9,3.7,  428,  156
172,MateTea_Aires,304.83,  0.00,1.3,5.8,  448,   76
173,ikun-shuzhihenga,304.44,  2.51,1.4,6.7,  549,  118
174,yismo90,304.10,  0.00,1.2,7.4,  522,  150
175,LitangWangDJ1,303.88,  0.00,1.1,10.3,  683,  186
176,QvQslimming,301.14,  0.00,1.2,11.0,  800,   63
177,yujingBB,300.33,  0.00,1.1,10.7,  690,  102
178,Po1uk,300.11,  0.00,2.3,3.6,  498,   11
179,TureWhisper,300.00,  0.00,1.1,6.5,  434,   48
180,AiChiHuiMian,299.86,  0.00,2.1,4.1,  522,   10
181,FriedChickeNPC,299.52,  0.00,1.9,4.7,  543,   11
182,Lardkilf,299.33,  0.00,0.6,37.7, 1468,  103
183,RT395,298.79,  0.00,1.2,8.3,  617,  235
184,DouYin_Kaix1nn,298.36,  0.00,2.1,4.0,  501,   55
185,xiaoheiaaaaa,297.56,  0.00,0.7,24.3,  975,  348
186,myqt8,297.29,  0.00,0.8,13.7,  651,  374
187,yexuanji,297.03,  0.00,1.0,10.5,  605,   31
188,cunkuan17kuai,296.92,  0.00,2.2,4.0,  528,    7
189,DuoLuoLuoo,295.15,  0.00,1.2,9.4,  682,   32
190,Wangchaoha1yu,294.84,  0.00,1.3,7.0,  562,   24
