1,BiliBili11731881,1025.27,  0.00,3.4,86.0,17559,  688
2,1-AE86-1,743.78,  0.00,0.2,45.4,  421, 7665
3,BILIBILI26987323,701.20,  0.00,2.6,22.6, 3561,   78
4,mor1en,699.32,  0.00,2.7,18.9, 3115,  206
5,BABYNICE1,697.86,  0.00,1.9,34.3, 4017,  217
6,gentlemanW,694.54,  0.00,2.4,78.4,11255,  331
7,KoNoM4M4,684.88,  0.00,2.5,27.4, 4113,  138
8,A-LiuCheNGJiN,680.42,  0.00,2.9,19.5, 3364,  125
9,SayLoveMikasa,653.60,  0.00,2.2,19.8, 2574,   97
10,uniformRod,641.02,  0.00,2.8,19.8, 3360,   95
11,GodYuanzZ,627.79,  0.00,2.5,17.8, 2674,  158
12,ZiZaiJiYiGong,616.92,  0.00,2.5,30.2, 4578,  108
13,BiliBili24430930,614.95,  0.00,2.6,13.9, 2205,  146
14,AAAAAAKail-,606.63,  0.00,2.4,14.9, 2171,   72
15,CrocodileFigure,599.50,  0.00,1.9,40.8, 4726,  241
16,China1goat,589.27,  8.03,2.2,20.7, 2768,  330
17,FliegerFaust225,587.32,  0.00,2.0,97.9,11780,  244
18,AboutMande,582.84,  0.00,2.2,21.9, 2945,   99
19,zhanchege77A,573.85,  2.24,2.2,24.0, 3157,  192
20,DuckZzy,555.69,  4.66,2.0,29.1, 3449,   83
21,indulgere,548.12,  0.00,2.7,12.3, 1993,   69
22,GreyHound1sT,546.82,  0.00,2.5,24.3, 3601,  101
23,q413465507,542.49,  0.00,2.3,10.8, 1494,   63
24,HQG8,537.64,  4.67,1.8,34.7, 3730,   98
25,-SunGoooukong-,536.16,  0.00,1.7,28.5, 2846,  397
26,TohsakaRin1161,535.74,  0.00,1.7,12.2, 1272,  316
27,Sniper_Gushun,527.59,  0.00,2.2,15.9, 2052,  303
28,BiIiBiIi-7519337,523.58,  0.00,2.3,12.4, 1733,  154
29,MountainRabbit9,515.43,  0.00,1.6,25.0, 2442,  158
30,LionWhite117,513.78, 26.13,1.9,16.4, 1823,   36
31,fuurita,512.27,  0.00,1.7,30.0, 3067,  325
32,piaopiao3,511.59,  0.00,1.9,24.0, 2720,  193
33,XXXXXXXXXXXf,501.01,  0.00,2.0,22.6, 2684,  232
34,AndyandLave,498.30,  0.00,1.8,19.5, 2058,   97
35,Mom1ngvvv,496.50,  0.00,1.7,36.0, 3602,  326
36,Pineberry,495.62,  0.00,2.0,22.0, 2673,   98
37,Lm_Solitary,494.88,  0.00,2.5,10.1, 1491,   45
38,-PistolV-,491.18,  3.30,1.5,39.4, 3492,  525
39,LzoyoiYui,485.10,  0.00,2.6,8.4, 1324,  146
40,shushu15632,476.44,  0.00,2.5,8.5, 1284,   39
41,Ko7yosh,473.31,  0.00,2.9,7.1, 1243,   45
42,Lonely-pao,471.02,  0.00,1.6,68.3, 6568,  692
43,Nananaaaami,470.08,  0.00,2.5,8.6, 1312,   20
44,NaritaDaijin,467.81,  0.00,1.5,13.8, 1218,   36
45,Blood-reigns,463.81,  4.24,1.5,12.7, 1133,  162
46,FastLetMeSeeSee,458.80,  0.00,2.0,11.3, 1331,   71
47,Aqiiiiiiiiiiiii,458.17,  0.00,2.6,6.4, 1004,   33
48,B1Eup,456.93,  0.00,1.8,11.8, 1274,   82
49,TheeCurseMyName,456.09,  0.00,2.5,11.5, 1723,   73
50,Tademizang,455.62,  0.00,3.2,6.3, 1194,   12
51,1amsotired,454.07,  0.00,1.8,13.9, 1518,   80
52,jiangxiu123,453.97,  0.00,1.9,13.7, 1596,   91
53,_Escape_Romeo_ll,452.53, 32.06,1.7,12.1, 1273,  138
54,AzGoodYzzzzzz,450.00,  0.00,1.4,26.4, 2165,   46
55,CrazyOneTap_p,449.68,  0.00,1.5,23.4, 2137,  378
56,Ranni_Moon,445.19,  0.00,2.1,10.5, 1298,   64
57,JacobSoHot,441.08,  0.00,0.4,11.5,  284, 1376
58,-DesMoineZ_-,436.06,  0.00,2.8,8.4, 1434,   10
