1,BiliBili11731881,1027.21,  1.95,3.4,87.0,17762,  690
2,1-AE86-1,743.78,  0.00,0.2,45.4,  421, 7665
3,mor1en,725.86, 26.54,2.8,20.0, 3331,  221
4,BILIBILI26987323,701.20,  0.00,2.6,22.6, 3561,   78
5,gentlemanW,694.54,  0.00,2.4,78.4,11255,  331
6,KoNoM4M4,684.88,  0.00,2.5,27.4, 4113,  138
7,A-LiuCheNGJiN,680.42,  0.00,2.9,19.5, 3364,  125
8,BABYNICE1,659.36,-38.50,1.9,35.4, 4105,  217
9,SayLoveMikasa,653.60,  0.00,2.2,19.8, 2574,   97
10,uniformRod,641.02,  0.00,2.8,19.8, 3360,   95
11,ZiZaiJiYiGong,640.77, 23.85,2.6,31.6, 4850,  112
12,GodYuanzZ,627.79,  0.00,2.5,17.8, 2674,  158
13,AAAAAAKail-,616.28,  9.65,2.4,15.9, 2310,   73
14,BiliBili24430930,614.95,  0.00,2.6,13.9, 2205,  146
15,FliegerFaust225,610.41, 23.09,2.0,98.9,11909,  246
16,CrocodileFigure,607.51,  8.01,1.9,42.1, 4886,  246
17,China1goat,589.27,  0.00,2.2,20.7, 2768,  330
18,AboutMande,582.84,  0.00,2.2,21.9, 2945,   99
19,zhanchege77A,573.85,  0.00,2.2,24.0, 3157,  192
20,DuckZzy,555.69,  0.00,2.0,29.1, 3449,   83
21,indulgere,548.12,  0.00,2.7,12.3, 1993,   69
22,GreyHound1sT,546.82,  0.00,2.5,24.3, 3601,  101
23,q413465507,542.49,  0.00,2.3,10.8, 1494,   63
24,-SunGoooukong-,542.35,  6.19,1.7,29.0, 2892,  409
25,HQG8,537.64,  0.00,1.8,34.7, 3730,   98
26,TohsakaRin1161,535.74,  0.00,1.7,12.2, 1272,  316
27,Sniper_Gushun,529.66,  2.07,2.2,16.5, 2132,  306
28,MountainRabbit9,526.07, 10.63,1.6,25.9, 2556,  163
29,BiIiBiIi-7519337,523.58,  0.00,2.3,12.4, 1733,  154
30,LionWhite117,513.78,  0.00,1.9,16.4, 1823,   36
31,fuurita,512.27,  0.00,1.7,30.0, 3067,  325
32,piaopiao3,511.59,  0.00,1.9,24.0, 2720,  193
33,-PistolV-,503.76, 12.58,1.5,40.7, 3628,  542
34,XXXXXXXXXXXf,501.01,  0.00,2.0,22.6, 2684,  232
35,AndyandLave,498.30,  0.00,1.8,19.5, 2058,   97
36,Mom1ngvvv,496.50,  0.00,1.7,36.0, 3602,  326
37,Pineberry,495.62,  0.00,2.0,22.0, 2673,   98
38,Lm_Solitary,494.88,  0.00,2.5,10.1, 1491,   45
39,LzoyoiYui,485.10,  0.00,2.6,8.4, 1324,  146
40,shushu15632,476.44,  0.00,2.5,8.5, 1284,   39
41,Ko7yosh,473.31,  0.00,2.9,7.1, 1243,   45
42,Lonely-pao,471.02,  0.00,1.6,68.3, 6568,  692
43,Nananaaaami,470.08,  0.00,2.5,8.6, 1312,   20
44,B1Eup,469.32, 12.40,1.8,12.8, 1380,   89
45,NaritaDaijin,467.81,  0.00,1.5,13.8, 1218,   36
46,Blood-reigns,463.81,  0.00,1.5,12.7, 1133,  162
47,FastLetMeSeeSee,458.80,  0.00,2.0,11.3, 1331,   71
48,Aqiiiiiiiiiiiii,458.17,  0.00,2.6,6.4, 1004,   33
49,TheeCurseMyName,456.09,  0.00,2.5,11.5, 1723,   73
50,Tademizang,455.62,  0.00,3.2,6.3, 1194,   12
51,1amsotired,454.07,  0.00,1.8,13.9, 1518,   80
52,jiangxiu123,453.97,  0.00,1.9,13.7, 1596,   91
53,_Escape_Romeo_ll,452.53,  0.00,1.7,12.1, 1273,  138
54,AzGoodYzzzzzz,450.00,  0.00,1.4,26.4, 2165,   46
